Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
511NY,1.1288061018755482e+17,"Reduced to one lane on I-81 north at ex 7 - US 11 due to storm damage until 7:00PM, 09/15/11.",8:30 AM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1254840322070938e+17,"Closed to traffic, storm damage on NY 17 in both directions from ex 67N - NY 26; Ramp to Town of Owego; Town of Vesta...http://bit.ly/7dFGS5",10:30 AM - 10 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1254840110679245e+17,"Closed to traffic, storm damage on NY 17 in both directions from ex 67N - NY 26; Ramp to Town of Owego; Town of Vesta...http://bit.ly/5Xuc69",10:30 AM - 10 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
Apple,1.0762616420386406e+18,"The new iPad Pro. Now with an all-screen design, Face ID, USB-C, and redesigned Apple Pencil.",6:42 PM - 21 Dec 2018,"Like
    
      
    45
  
  
    
      
      
      Liked
    
      
    45","Retweet
    
      
    12
  
  
    
      
      Retweeted
    
      
    12",MA
511nyBinghamton,1.1209541142617293e+17,"Lft lane closed, storm damage on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp until 7:00PM, 09/12/11.",4:30 AM - 9 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1209540936676147e+17,"Lft lane closed, storm damage on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp until 7:00PM, 09/12/11.",4:30 AM - 9 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1160845404038758e+17,"Lft lane closed on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp due to storm damage until 7:00PM, 09/08/11.  lf...http://bit.ly/7dFGS5",8:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1160845151961088e+17,"Lft lane closed on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp due to storm damage until 7:00PM, 09/08/11.  lf...http://bit.ly/5Xuc69",8:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1153303674671923e+17,Reduced to one lane on NY 17 west from ex   - I-81; Ramp to City of Binghamton; Town of Dickinson Line due to storm d...http://bit.ly/7dFGS5,3:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1153302199533568e+17,Reduced to one lane on NY 17 west from ex   - I-81; Ramp to City of Binghamton; Town of Dickinson Line due to storm d...http://bit.ly/5Xuc69,3:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
